Reference, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
"U1000","L7805","Package_TO_SOT_SMD:TO-263-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"C1000",".33uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C1001",">.1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"J1000","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","~"
"D1000","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"H0","MountingHole","MountingHole:MountingHole_3.5mm","~"
"H2","MountingHole","MountingHole:MountingHole_3.5mm","~"
"H1","MountingHole","MountingHole:MountingHole_3.5mm","~"
"H3","MountingHole","MountingHole:MountingHole_3.5mm","~"
"D1001","LED","LED_THT:LED_D3.0mm","~"
"R1000","2.2K","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","~"
"U1001","TL760M33","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://www.st.com/resource/en/datasheet/ld39150.pdf"
"C1003","22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C1002",".1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C3000","22pf","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C3001","22pf","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"U3001","AS6C4008-55PCN","Package_SO:TSOP-II-32_21.0x10.2mm_P1.27mm","https://www.digikey.com/en/products/detail/alliance-memory-inc/AS6C4008-55ZIN/4234590"
"U3000","SST39SF040","Package_DIP:DIP-32_W15.24mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf"
"U2200","PIO-LQFP-44","Package_QFP:LQFP-44_10x10mm_P0.8mm","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0="
"J2200","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"RN2200","10k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"RN2201","10k","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"J2201","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"C2200","22pf","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"J2210","Micro_SD_Card_Det","Connector_Card:microSD_HC_Molex_104031-0811","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1"
"U2210","74LS07","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","www.ti.com/lit/ds/symlink/sn74ls07.pdf"
"C2210","22pf","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
